Last Name,First Name,ID,email,Admitted,duPont Code,Status,Comments,Term,Co Cur 1,Date 1,FSEM HN,FSEM Date,HN course 1,HN 1 Date,HN course 2,HN 2 Date,HN course 3,HN 3 Date,HN course 4,HN 4 Date,HN course 5,HN 5 Date,Research Course,Research Date,Capstone Course,Capstone Date,HONR201,HONR201 Date,Leadership,mentoring,GPA Fall 2016,GPA Spring 2017,GPA Fall 2017,GPA Spring 2018,GPA Fall 2018,GPA Spring 2019,GPA Fall 2019,GPA Spring 2020,HONR Portfolio 4,HONR Portfolio 1,HONR Portfolio 2,HONR Portfolio 3,Exit Interview
Washington,George,36615,gwashing@umw.edu,Spring 2017,1111,Good,Track B,,,,HIST 190,Spring 2017,,,,,,,,,,,,,,,,,,,3,2,1,4,313,,,,,,,,
Adams,John,36616,jadams@umw.edu,Fall 2016,1112,Good,,Fall 2016,Honors Program Fall Symposium,12/3/16,FSEM 100N6,Fall 2016,CPSC 110,Fall 2016,,,,,,,,,ENGL 295,Fall 2016,,,,,,,4,,,,,,,,,,,,
Jefferson,Thomas,36617,tjeffers@umw.edu,Fall 2016,1113,Good,,Fall 2016,Constitutional Interpretation in Federal Courts,9/16/16,FSEM 100N6,Fall 2016,CPSC 110,Fall 2016,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Madison,James,36618,jmadison@umw.edu,Spring 2017,1114,Good,Track B,,,,HISP 101,Fall 2016,PSYC 100,Spring 2017,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Monroe,James,36619,jmonroe@umw.edu,Spring 2017,1115,Good,Track B,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Adams,John,36620,jadams2@umw.edu,Fall 2016,1116,Good,,Fall 2016,"Masculine, Feminine, Neuter, Vegetable: Grammatical Gender Around the World",11/7/16,FSEM 100N5,Fall 2016,LING 101B,Fall 2016,ENGL 385,Spring 2017,,,,,,,ENGL 295,Fall 2016,,,,,,,4,,,,,,,,,,,,
Jackson,Andrew,36621,ajackson@umw.edu,Fall 2016,1117,Good,,Fall 2016,No Exit Showing,10/22/16,HIST 201,Fall 2016,THEA 212A,Fall 2016,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Van Buren,Martin,36622,mvanbure@umw.edu,Fall 2016,1118,Good,,Fall 2016,Solving Mysteries for the Criminal Justice System: Case Studies from the Trace Evidence Section,10/21/16,FSEM 100P6,Fall 2016,CHEM 211,Fall 2016,CHEM 212,Spring 2017,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Harrison,William,36623,wharriso@umw.edu,Fall 2016,1119,Good,,Fall 2016,Kristen Green Book Talk,9/19/16,FSEM 100N3,Fall 2016,PSYC 100,Spring 2017,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Tyler,John,36624,jtyler@umw.edu,Spring 2017,1120,Good,Track B,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
